id,description,name,material,finish,size,price,price_unit,design_types,applications,quantity_per_box,area_per_box,area_unit,faces,origin,laying_patterns,product_url,image_url,last_updated,image_path
bdm-swanwood-brown,"BDM Swanwood Brown is a ceramic tile with wooden design It features a matte finish in 600x600 mm size The colour of swanwood perfectly embraced by basket weave pattern is all your floor needs to brighten up the entire space. Colour coordinate these your floor with contrast furniture and neutral coloured furnishing in order to accentuate the look and feel of your space. Swanwood is known for its colour which distinct itself from usual browns of wood. Swanwood Brown tiles perfectly matches the actual colour of Swanwood but requires minimum effort when it comes to its maintenance. The basket weave pattern gives it a distinct look, breaking the single colour into a pattern. This design and colour is perfect to be laid in the entire residential space or commercial spaces like; offices, malls, retail shops, showroom as they would not just look elegant but also wouldn’t distract your customers from the actual commodity. These wooden tiles are easy to clean and can be mopped daily unlike actual wooden flooring making them a great choice for Indian homes.",BDM Swanwood Brown,Ceramic,Matte Finish,600x600 mm,85.0,sq.ft,Wooden,"Living Room, Bedroom, Balcony, Accent, Terrace, Hospital, Automotive, High Traffic, Bar/Restaurant, Commercial/Office, Outdoor/Terrace",4,1.44,sq Decimeter,1,India,"Straight Pattern, Versailles Pattern",https://www.orientbell.com/bdm-swanwood-brown-025806658960249361d,https://images.orientbell.com/media/catalog/product/b/d/bdm-swanwood-brown.jpg,2025-01-03 00:26:15,../Backend/images_final/bdm_swanwood_brown.jpg
odm-jagna-grey-dark,"ODM Jagna Grey Dark is a ceramic tile with cement design It features a matte finish in 300x600 mm size Grey tones and textures are taking over modern ceramic tiles in recent years. Owing to the growing appeal of minimalistic interior design, tiles in shades of grey are the most popular choices to be installed at the walls of your homes. ODM Jagna Grey Dark with a natural finish is your go-to option to add a polished and sophisticated look to your kitchens, dining rooms, and bathrooms. You can either install them as it is or combine it with a different tile design or color to create stunning wall concepts. ODM Jagna Grey Dark ceramic tiles are extremely durable and can withstand wear and tear while retaining its appearance. They also protect your walls from any water or moisture damage and are scratch resistant as well. These tiles can be easily cleaned by wiping the tiles with a mild detergent and a cloth. Choose ODM Jagna Grey Dark ceramic tiles and enhance the overall appearance of your home.",ODM Jagna Grey Dark,Ceramic,Matte Finish,300x600 mm,84.0,sq.ft,Cement,"Bathroom, Kitchen, Dining Room",6,1.08,sq Decimeter,4,India,"Basketweave Pattern, Brick Pattern, Herringbone Pattern, Straight Pattern",https://www.orientbell.com/odm-jagna-grey-dark-015005754001127011m,https://images.orientbell.com/media/catalog/product/o/d/odm-jagna-grey-dark-f.jpg,2025-01-03 00:26:30,../Backend/images_final/odm_jagna_grey_dark.jpg
elite-grey,"Elite Grey is a ceramic tile with marble design It features a glossy finish in 200x300 mm size The light grey colour of Orientbell Tiles’ Elite Grey gives a classy touch to all kinds of room decor. It can be creatively clubbed with dark shades to make it appear more stylish and eye-catching. This tile is made with ceramic material that provides durability and strength. Furthermore, the glossy finish also provides an attractive look to the tile. Available in 200x300mm size, Elite Grey can be used as wall tile in the bathroom and kitchen areas. The main advantage of using this tile is that it does not absorb moisture and prevents any kind of water leakage. Moreover, this beautiful tile is immune to stains and scratches. Not only this, the tile price of Orientbell’s Elite Grey is affordable and does not put any burden on the buyer’s pocket. Also, you can install this tile in different patterns such as a brick and straight.",Elite Grey,Ceramic,Glossy Finish,200x300 mm,44.0,sq.ft,Marble,"Bathroom, Kitchen",15,90.0,sq Decimeter,1,India,"Brick Pattern, Straight Pattern",https://www.orientbell.com/elite-grey-010104505610335101w,https://images.orientbell.com/media/catalog/product/e/l/elite_grey_20_30_glossy_obl_premium.jpg,2025-01-02 23:55:15,../Backend/images_final/elite_grey.jpg
nu-loreno-gold,"Nu loreno gold is a ceramic tile with marble design It features a glossy finish in 200x300 mm size A hint of bold and bright color can inject a room with oodles of personality and aesthetics. Loreno Gold ceramic tiles are the perfect choice to decorate the walls of your kitchens and bathrooms by creating stunning wall concepts. The striking pattern and unique design of these tiles are sure to gather the attention of your guests as soon as they enter. The glossy finish of these tiles adds to the overall look of your accent walls and makes them stand out. These tiles are not only durable but extremely low-maintenance as well. These tiles do not let any kind of stains, dirt, dust or allergens penetrate, making it easier to wipe them away with a cloth or sponge. Besides cleaning at regular intervals, there is no special maintenance required to retain the appearance and finish of these tiles. Ceramic tiles are also resistant to water or moisture and do not dent or scratch easily. Once you install Loreno Gold tiles, you don’t need to worry about their appearance and maintenance for years to come.",Nu loreno gold,Ceramic,Glossy Finish,200x300 mm,59.0,sq.ft,Marble,"Bathroom, Kitchen",15,90.0,sq Decimeter,0,India,"Brick Pattern, Straight Pattern",https://www.orientbell.com/loreno-gold-010104507420327101m,https://images.orientbell.com/media/catalog/product/l/o/loreno-gold.jpg,2025-01-03 00:26:40,../Backend/images_final/nu_loreno_gold.jpg
odh-jagna-hl,"ODH Jagna HL is a ceramic tile with cement design It features a matte finish in 300x600 mm size Tiles in grey shades are among the most popular options for the walls of your home. If a minimalist and classy look is what you like, ODH Jagna HL is the perfect choice for you. The stunning matte finish of these tiles can add life and character to your walls making them stand out. You can either install them as it is or club them with different tile designs and colors to create some amazing wall concepts. Ceramic tiles are highly resistant to acids or abrasive cleaners. They are also extremely durable and do not dent or scratch easily. Water and moisture resistance are other properties of these tiles which makes them ideal for kitchen and bathroom walls. Bring moisture resistant, they also prevent bacteria and other allergens from growing. ODH Jagna HL is hence a great option to enhance the beauty of your home while making the environment inside the home healthier and safer.",ODH Jagna HL,Ceramic,Matte Finish,300x600 mm,84.0,sq.ft,Cement,"Bathroom, Kitchen",6,1.08,sq Decimeter,1,India,"Basketweave Pattern, Brick Pattern, Herringbone Pattern, Straight Pattern",https://www.orientbell.com/odh-jagna-hl-015005753951343011m,https://images.orientbell.com/media/catalog/product/o/d/odh-jagna-hl.jpg,2025-01-03 00:26:46,../Backend/images_final/odh_jagna_hl.jpg
plain-ivory,"Plain Ivory is a ceramic tile with plain design It features a glossy finish in 200x300 mm size Ivory colour signifies elegance and class. Orientbell Tiles’ Plain Ivory is one such tile that provides a stylish look to the entire decor with its mesmerising ivory shade. Ivory coloured tiles can be easily clubbed with other colour options to give a more artistic touch to the walls. Also, the ceramic tile body is durable and long-lasting and can withstand all kinds of wear and tear. Moreover, this tile is easy to install, clean and maintain. You can use it in various patterns such as a brick and straight. Kitchen walls are the perfect ambience where this tile can be installed as it is available in 200x300mm size. Resistance to stains and scratches is one of the important traits of Orientbell’s Plain Ivory tile. The glossy finish is a plus point as it provides a smooth surface to the tile and makes it even more appealing.",Plain Ivory,Ceramic,Glossy Finish,200x300 mm,42.0,sq.ft,Plain,"Bathroom, Kitchen",15,90.0,sq Decimeter,1,India,"Brick Pattern, Straight Pattern",https://www.orientbell.com/plain-ivory-010104509980355101w,https://images.orientbell.com/media/catalog/product/p/l/plain_ivory_loreno_gold_bathroom_20x30_cm.jpg,2025-01-02 23:55:40,../Backend/images_final/plain_ivory.jpg
plain-mango-yellow,"Plain Mango Yellow is a ceramic tile with plain design It features a glossy finish in 200x300 mm size Mango coloured tiles that can stand out for themselves and are compatible with muted tone wall-concepts. The ceramic based tile even makes for great accent bathroom walls that can be accessorized with neutral coloured fittings, fixtures, paintings and frames to give your bathroom a bohemian look. If you are looking for a contemporary bathroom design, ensure you utilize the bold colour of the tiles and Victorian or rose gold finish fixtures. Off-white lighting options to Yellow LEDs will go along well with the tiles. Add a touch of glamour to your bathroom with Plain Mango Yellow on your walls.",Plain Mango Yellow,Ceramic,Glossy Finish,200x300 mm,59.0,sq.ft,Plain,"Bathroom, Kitchen",15,90.0,sq Decimeter,0,India,"Brick Pattern, Straight Pattern",https://www.orientbell.com/plain-mango-yellow-010104509980390101m,https://images.orientbell.com/media/catalog/product/p/l/plain-mango-yellow.jpg,2025-01-03 00:26:54,../Backend/images_final/plain_mango_yellow.jpg
plain-white,"Plain White is a ceramic tile with plain design It features a glossy finish in 200x300 mm size Plain white colour lends an elegant look to any object be it furniture, tile or an entire room. Orientbell’s Plain White tile is one of the classy and eye-catching tiles available in the market. It is carefully made with ceramic material that provides the utmost durability to the tiles. Not only this, the glossy finish used here gives a sparkling look to the tile and makes the surrounding appear more spacious. You can creatively combine this plain white coloured tile with darker shades to give a highlighting effect on your walls. It can be used on the walls of a bathroom and kitchen area. Due to its less water-absorption quality, this tile prevents water leakage and is very easy to clean or mop. It is resistant to stains, scratches, insects and fire. Moreover, any kind of acid or chemical spillage does not affect the tile surface. Furthermore, it is available in a 200x300mm size and at a very pocket-friendly price.",Plain White,Ceramic,Glossy Finish,200x300 mm,42.0,sq.ft,Plain,"Bathroom, Kitchen",15,90.0,sq Decimeter,1,India,"Brick Pattern, Straight Pattern",https://www.orientbell.com/plain-white-010104509980565101w,https://images.orientbell.com/media/catalog/product/p/l/plain_white_plain_ocean_blue_bathroom_20x30_cm_1.jpg,2025-01-02 23:55:50,../Backend/images_final/plain_white.jpg
odh-emilia-hl,"ODH Emilia HL is a ceramic , digital , highlighter tile with marble design It features a glossy finish in 300x450 mm size Make a dramatic yet elegant statement with ODH Emilia HL highlighter tiles. These patterned tiles with stunning digital design and soothing color are a perfect choice for kitchen backsplashes, shower areas, and countertops. You can install these tiles by clubbing them with other tile designs to create gorgeous wall concepts. Resistance to water damage, stains, spills, and scratches along with low-maintenance are some of the prime features of ODH Emilia HL tiles. These ceramic tiles are highly durable and can last for a lifetime without the need for spending extra money and efforts on their maintenance. The beautiful glossy finish of these tiles does not get altered by acids or other chemicals which makes them ideal for kitchen and bathroom walls. The ease of installation and cleaning are other factors due to which, ODH Emilia HL is one of the most popular tiling options for your home.",ODH Emilia HL,"Ceramic , Digital , Highlighter",Glossy Finish,300x450 mm,70.0,sq.ft,Marble,"Bathroom, Kitchen",6,81.0,sq Decimeter,1,India,"Brick Pattern, Straight Pattern",https://www.orientbell.com/odh-emilia-hl-015005664281343011m,https://images.orientbell.com/media/catalog/product/o/d/odh-emilia-hl.jpg,2025-01-03 00:27:06,../Backend/images_final/odh_emilia_hl.jpg
odg-emilia-brown,"ODG Emilia Brown is a ceramic , digital , dark tile with marble design It features a glossy finish in 300x450 mm size When it comes to decorating your home, the quality installation of tiles can go a long way. ODG Emilia Brown is the best pick if you are not willing to go overboard in selecting the best tiling options for the walls of your home. The dark color and the digital print that runs throughout the length and breadth of the tiles add to the elegance of your rooms. They are scratch-resistant, protect your walls against water damage and do not react with acids or abrasive cleaners making them an ideal choice for the walls of your kitchens and bathrooms. Ceramic tiles do not hold onto any kind of dirt, dust, rots, or allergens. The bacteria and other impurities remain on the hard surface of these tiles and can be wiped away easily with a mop. The glossy finish of ODG Emilia Brown can retain its original appearance for years adding beauty and charm to your home.",ODG Emilia Brown,"Ceramic , Digital , Dark",Glossy Finish,300x450 mm,70.0,sq.ft,Marble,"Bathroom, Kitchen",6,81.0,sq Decimeter,4,India,"Brick Pattern, Straight Pattern",https://www.orientbell.com/odg-emilia-brown-015005664260249011m,https://images.orientbell.com/media/catalog/product/o/d/odg-emilia-brown-f.jpg,2025-01-03 00:27:16,../Backend/images_final/odg_emilia_brown.jpg
picasso-blue,"Picasso Blue is a ceramic tile with monochrome design It features a glossy finish in 200x300 mm size Orientbell Tiles’ Picasso Blue with its cool blue colour yields the resemblance of water and makes it well-suited for its lodging in wet areas such as bathrooms and kitchens. Moreover, made up of ceramic material, this tile has utmost strength which helps it to last longer. This tile will continue to add shine to your space for many years. The finish of gloss further makes it look more enhanced and smoother. This tile can easily be installed in different patterns such as brick or straight. Furthermore, Orientbell Tiles’ Picasso Blue is also repellant to smudges and scratches which makes its maintenance effortless. And also, it can be cleaned very easily with just a piece of a wet cloth or mop. Available in 200x300mm size, this tile is available at a very pocket-friendly price. Moreover, this tile can be clubbed with other tiles to give a more attractive look.",Picasso Blue,Ceramic,Glossy Finish,200x300 mm,56.0,sq.ft,Monochrome,"Bathroom, Kitchen",15,90.0,sq Decimeter,0,India,"Brick Pattern, Straight Pattern",https://www.orientbell.com/picasso-blue-010104516480231101m,https://images.orientbell.com/media/catalog/product/p/i/picasso-blue.jpg,2025-01-03 00:27:24,../Backend/images_final/picasso_blue.jpg
picasso-pink,"Picasso Pink is a ceramic tile with monochrome design It features a glossy finish in 200x300 mm size Tiles can make or break the look of your bathroom spaces. Select from the bathroom tile designs and wall concepts available with matching floorings only at Orientbell Tiles. Picasso Pink tiles are perfect to brighten up your dull bathroom spaces with minimal efforts. Can be laid in multiple patterns and can be combined with darker shades of pink to create a wall concept for your choice. The tile not only needs minimal efforts to wow your guests but also requires low to no maintenance. Ceramic tiles are hygienic as they can be washed, mopped and cleaned within no time. Ceramic tiles are also resistant to insects, fire, rot and odour. It is the most popular and versatile in category of tiles. Once laid, they continue to beautify your spaces for years to come.",Picasso Pink,Ceramic,Glossy Finish,200x300 mm,56.0,sq.ft,Monochrome,"Bathroom, Kitchen",15,90.0,sq Decimeter,0,India,"Brick Pattern, Straight Pattern",https://www.orientbell.com/picasso-pink-010104516480451101m,https://images.orientbell.com/media/catalog/product/p/i/picasso-pink.jpg,2025-01-03 00:27:33,../Backend/images_final/picasso_pink.jpg
square-brown,"Square Brown is a ceramic tile with mosaic design It features a glossy finish in 200x300 mm size Glossy mosaic patterns in neutral brown tones when clubbed with light and dark shade tiles becomes a great wall concept for your bathroom walls. Designer mosaic tiles adds a contemporary touch to your bathroom walls. These tiles when clubbed with beige and brown tiles, they come out very well together. Since the pattern in itself is so classy, simple fittings and fixtures does the work for you. When using these concepts in kitchen, they look the best when used on kitchen backsplash as they are easy to clean and maintain. The Ceramic tiles undergo several quality checks like all other category of tiles available at Orientbell.com. These tiles are hygienic as they can be washed, mopped and cleaned within no time. Ceramic tiles are also resistant to insects, fire, rot and odour. It is the most popular and versatile in category of tiles. Once laid, they continue to beautify your spaces for years to come.",Square Brown,Ceramic,Glossy Finish,200x300 mm,56.0,sq.ft,Mosaic,"Bathroom, Kitchen",15,90.0,sq Decimeter,0,India,"Brick Pattern, Straight Pattern",https://www.orientbell.com/square-brown-010104525080249101m,https://images.orientbell.com/media/catalog/product/s/q/square-brown.jpg,2025-01-03 00:27:38,../Backend/images_final/square_brown.jpg
odg-d-lite-grey-dk,"ODG D-LITE Grey DK is a ceramic , digital , dark tile with marble design It features a glossy finish in 300x450 mm size Each tile manufactured at Orientbell Tiles’ is manufactured with state-of-the-art technology using latest technology. D-LITE Grey Dk are ceramic tiles manufactured in grey colour are marble patterned wall tiles. The grey wall tiles are an expression of your class and personality, when adorned by your kitchen and bathroom walls. These tiles can be laid as is or can even be clubbed with highlighter tiles. Gloss body is not just easy to maintain but also gives the desired shine to your bathroom and kitchen spaces. The colour is soothing to eyes and mind, and has potential to elevate the look and vibe of your spaces. Fittings, fixtures and accessories of same tone or contrast go well, which clearly suggests that these tiles are versatile in nature. These tiles are hygienic as they can be washed, mopped and cleaned within no time. Ceramic tiles are also resistant to insects, fire, rot and odour. It is the most popular and versatile in category of tiles. Once laid, they continue to beautify your spaces for years to come.",ODG D-LITE Grey DK,"Ceramic , Digital , Dark",Glossy Finish,300x450 mm,70.0,sq.ft,Marble,"Bathroom, Kitchen",6,81.0,sq Decimeter,4,India,"Brick Pattern, Straight Pattern",https://www.orientbell.com/odg-d-lite-grey-dk-015005643371035011m,https://images.orientbell.com/media/catalog/product/o/d/odg_d_lite_grey_dk.jpg,2025-01-03 00:27:44,../Backend/images_final/odg_d-lite_grey_dk.jpg
